detected_language,url,response_code,num_links,response_type,declared_language
en,https://en.wikipedia.org/wiki/Anne_Bradstreet,200,472,HTML,en
,http://www.example.com/courses/1704/assignments/1423/submissions/4067,404,,SpiderException -- Ignoring non-200 response,
en,https://quizlet.com/37641628/american-literature-flash-cards/,200,29,HTML,en-gb
en,https://en.wikipedia.org/wiki/Donald_Woods,200,312,HTML,en
es,http://www.taringa.net/posts/info/18045919/Kaprosuchus-el-cocodrilo-jabali.html,200,137,HTML,es
en,http://www.wow.com/wiki/Microsoft_Macro_Assembler,200,293,HTML,en
en,https://en.wikipedia.org/wiki/Kosciuszko_Huts_Association,200,103,HTML,en
en,https://bitly.com/,200,54,HTML,
en,https://en.wikipedia.org/wiki/Lorem_ipsum,200,366,HTML,en
en,https://en.wikipedia.org/wiki/Category:Pages_using_infobox_company_with_unsupported_parameters,200,298,HTML,en
en,https://en.wikipedia.org/wiki/United_Nations_Security_Council,200,1443,HTML,en
en,https://en.wikipedia.org/wiki/Special:WhatLinksHere/Kosciuszko_Huts_Association,200,123,HTML,en
en,https://en.wikipedia.org/wiki/Black_Consciousness_Movement,200,932,HTML,en
en,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Kosciuszko_Huts_Association,200,231,HTML,en
en,https://en.wikipedia.org/wiki/Category:Articles_needing_additional_references_from_November_2007,200,432,HTML,en
en,https://en.wikipedia.org/wiki/Category:All_articles_with_topics_of_unclear_notability,200,992,HTML,en
en,https://www.mediawiki.org/wiki/MediaWiki,200,183,HTML,en
en,https://en.wikipedia.org/wiki/Category:Articles_with_topics_of_unclear_notability_from_March_2012,200,407,HTML,en
en,https://en.wikipedia.org/wiki/Category:Organizations_established_in_1971,200,279,HTML,en
en,http://stophomework.com/2009/01/13/i-hate-reading-logs-says-fedup-mom/956/,200,1308,HTML,
en,http://stophomework.com,200,95,HTML,
en,https://wikimediafoundation.org/wiki/Home,200,125,HTML,en
fi,https://fi.wikipedia.org/wiki/Musta_tietoisuus_-liike,200,90,HTML,fi
en,https://en.wikipedia.org/wiki/Saint_James_Church_massacre,200,533,HTML,en
