domain,query_path,language,title,url,response_code,num_links,score
,,,NotImplementedXML,http://www.ivap.euskadi.eus/contenidos/ds_general/catalogo_datos_opendata/opendata/federador_datos.rdf,200,,
,,,SpiderException -- Ignoring non-200 response,http://www.example.com/courses/1704/assignments/1423/submissions/4067,404,,
quizlet.com,,en-gb,American Literature Flashcards | Quizlet,https://quizlet.com/37641628/american-literature-flash-cards/,200,29,1
,,,NotImplementedBinary,https://fas.org/sgp/crs/secrecy/RL34120.pdf,200,,
www.taringa.net,,es,"Kaprosuchus, el cocodrilo jabalí - Taringa!",http://www.taringa.net/posts/info/18045919/Kaprosuchus-el-cocodrilo-jabali.html,200,137,0
www.wow.com,,en,Microsoft Macro Assembler - WOW.com,http://www.wow.com/wiki/Microsoft_Macro_Assembler,200,293,1
en.wikipedia.org,,en,Kosciuszko Huts Association - Wikipedia,https://en.wikipedia.org/wiki/Kosciuszko_Huts_Association,200,103,1
en.wikipedia.org,,en,Kosciuszko Huts Association - Wikipedia,https://en.wikipedia.org/wiki/Kosciuszko_Huts_Association,200,103,1
en.wikipedia.org,,en,Donald Woods - Wikipedia,https://en.wikipedia.org/wiki/Donald_Woods,200,312,1
en.wikipedia.org,,en,Anne Bradstreet - Wikipedia,https://en.wikipedia.org/wiki/Anne_Bradstreet,200,472,1
en.wikipedia.org,,en,Donald Woods - Wikipedia,https://en.wikipedia.org/wiki/Donald_Woods,200,312,1
en.wikipedia.org,,en,Anne Bradstreet - Wikipedia,https://en.wikipedia.org/wiki/Anne_Bradstreet,200,472,1
,,,SpiderException -- Ignoring non-200 response,https://en.wikipedia.org/wiki/Please_clarify,404,,
,,,SpiderException -- Ignoring non-200 response,https://en.wikipedia.org/wiki/Manual_of_Style/Words_to_watch,404,,
sv.wikipedia.org,,sv,Anne Bradstreet – Wikipedia,https://sv.wikipedia.org/wiki/Anne_Bradstreet,200,117,0
es.wikipedia.org,,es,"Kaprosuchus - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Kaprosuchus,200,176,0
tg.wikipedia.org,,tg,Анна Бредстрит — Википедиа,https://tg.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B0_%D0%91%D1%80%D0%B5%D0%B4%D1%81%D1%82%D1%80%D0%B8%D1%82,200,104,0
tl.wikipedia.org,,tl,"Anne Bradstreet - Wikipedia, ang malayang ensiklopedya",https://tl.wikipedia.org/wiki/Anne_Bradstreet,200,118,0
,,,SpiderException -- Ignoring non-200 response,https://tg.wikipedia.org/wiki/%D0%9B%D0%BE%D0%B8%D2%B3%D0%B0:%D0%A2%D0%B0%D0%BA%D0%B7%D0%B8%D0%B1%D0%BD%D0%BE%D0%BC%D0%B0%D0%B8_%D1%83%D0%BC%D1%83%D0%BC%D3%A3,404,,
tl.wikipedia.org,,tl,"Wikipedia:Pangkalahatang pagtatanggi - Wikipedia, ang malayang ensiklopedya",https://tl.wikipedia.org/wiki/Wikipedia:Pangkalahatang_pagtatanggi,200,228,0
en.wikipedia.org,,en,New South Wales - Wikipedia,https://en.wikipedia.org/wiki/NSW,200,1358,1
ru.wikipedia.org,,ru,"Брэдстрит, Анна — Википедия","https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8D%D0%B4%D1%81%D1%82%D1%80%D0%B8%D1%82,_%D0%90%D0%BD%D0%BD%D0%B0",200,181,0
en.wikipedia.org,,en,Kosciuszko National Park - Wikipedia,https://en.wikipedia.org/wiki/Kosciuszko_National_Park,200,645,1
ru.wikipedia.org,,ru,"Ковалёва, Ирина — Википедия","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D0%B0%D0%BB%D1%91%D0%B2%D0%B0,_%D0%98%D1%80%D0%B8%D0%BD%D0%B0",200,65,0
